id,sn,sn_2,date,title,link
46,,,,关于对长春亚泰足球俱乐部队官员杨敬东、陈金刚违规违纪的处罚决定,http://www.thecfa.cn/cftz/20190529/27246.html
47,,,,关于对四川隆发足球俱乐部队官员彭晓方违规违纪的处罚决定,http://www.thecfa.cn/cftz/20190529/27245.html
48,,,,关于对南通支云足球俱乐部队官员亚瑟违规违纪的处罚决定,http://www.thecfa.cn/cftz/20190529/27244.html
49,,,,关于对成都棠湖外国语学校U19队官员朱峰鹏违规违纪的处罚决定,http://www.thecfa.cn/cftz/20190524/27215.html
50,,,,关于对北京北体大足球俱乐部队球员聂涛违规违纪的处罚决定,http://www.thecfa.cn/cftz/20190507/26978.html
51,,,,关于对河北华夏幸福足球俱乐部队球员耿晓峰违规违纪的处罚决定,http://www.thecfa.cn/cftz/20190507/26977.html
52,,,,关于对新疆天山雪豹足球俱乐部预备队官员马克违规违纪的处罚决定,http://www.thecfa.cn/cftz/20190502/26894.html
53,,,,关于对上海申鑫足球俱乐部队官员朱炯违规违纪的处罚决定,http://www.thecfa.cn/cftz/20190502/26893.html
54,足纪字[2019]19号,,,关于对广东华南虎足球俱乐部梅县铁汉生态队球员余文鹤违规违纪的处罚决定,http://www.thecfa.cn/cftz/20190426/26882.html
55,足纪字[2019]21号,,,关于对广东华南虎足球俱乐部梅县铁汉生态队、长春亚泰足球俱乐部队违规违纪的处罚决定,http://www.thecfa.cn/cftz/20190426/26881.html
56,足纪字[2019]20号,,,关于对长春亚泰足球俱乐部队球员周大地违规违纪的处罚决定,http://www.thecfa.cn/cftz/20190426/26880.html
57,,,,关于对大连一方足球俱乐部队球员李帅违规违纪的处罚决定,http://www.thecfa.cn/cftz/20190419/26838.html
58,,,,关于对内蒙古中优足球俱乐部呼和浩特足球队球员徐擎违规违纪的处罚决定,http://www.thecfa.cn/cftz/20190419/26837.html
59,,,,关于对青岛中青英联足球俱乐部队球员徐海亮、陈晓东违规违纪的处罚决定,http://www.thecfa.cn/cftz/20190419/26836.html
60,,,,关于对室内五人制甲级联赛上海上汽同济大学队官员马红兵违规违纪的处罚决定,http://www.thecfa.cn/cftz/20190419/26835.html
61,,,,关于对上海绿地申花俱乐部运动员周俊辰缩减处罚期限的决定,http://www.thecfa.cn/cftz/20190411/26753.html
62,足纪字[2019]14号,,,关于对南通支云足球俱乐部队球员南云齐违规违纪的处罚决定,http://www.thecfa.cn/cftz/20190403/26679.html
63,足纪字[2019]13号,,,关于对中甲联赛四川都江堰赛区违规违纪的处罚决定,http://www.thecfa.cn/cftz/20190403/26678.html
