球队,受罚,对象,行为,违纪条款,停赛时间、场次,罚款金额,罚款、停赛标准,用时,备注
南通支云队,俱乐部,,多名球员和官员引起比赛混乱,55 48 58,通报批评,400000,17,6,
中林建设队,运动员,运动员,故意蹬踹,3 8,12月,,,25,
成都胜利十一人队,运动员,裁判员,辱骂 群殴,3 8,终身,,,12,
成都胜利十一人队,运动员,裁判员,辱骂 群殴,3 8,终身,,,12,
成都胜利十一人队,运动员,裁判员,辱骂 群殴,3 8,终身,,,12,
成都胜利十一人队,运动员,裁判员,辱骂 群殴,3 8,终身,,,12,
成都胜利十一人队,运动员,裁判员,辱骂 恐吓,3 8,12月,,,12,
江苏苏宁苏宁易购队,运动员,运动员,蹬踹 造成严重社会影响,53 48,6,60000,17 112,6,
江苏苏宁苏宁易购队,运动员,运动员,故意用球踢人,53,3,30000,17 112,6,
延边足协U19队,运动员,运动员,推击,54 48 108,4,,112,7,
内蒙古中优U19队,运动员,运动员,击打,54 48 108,5,,112,7,
江苏苏宁苏宁易购队,运动员,运动员,蹬踹（无球状态下）,53 48,5,50000,17 112,6,
辽宁足球沈阳宏运队,运动员,运动员,故意脚踢,53 48,4,40000,17 112,4,
河南建业U19队,运动员,运动员,击打,54 48 108,4,,112,5,
武汉卓尔职业队,官员,裁判员,干扰比赛,55 62,2,20000,17,7,
武汉卓尔职业队,俱乐部,,,55 62,通报批评,200000,17,7,
贵州恒丰队,官员,裁判员,侮辱性辱骂,54 48,6,60000,17 112,5,
广州富力队,运动员,裁判员,侮辱性语言,54 48,6,60000,17 112,20,
浙江绿城队,运动员,运动员,脚蹬（无球状态下）,53 48,5,50000,17 112,10,
上海申鑫队,运动员,同队运动员,击打,53,4,40000,17 112,9,
上海申鑫队,运动员,同队运动员,击打,53,4,40000,17 112,9,
中国U22国家男子足球队,运动员,,不良行为 不当言论,,6月,,,12,特
内蒙古中优呼和浩特队,运动员,裁判员,赛后，使用语言侮辱,54 48,6,60000,17,6,
内蒙古中优呼和浩特队,运动员,裁判员,赛后，使用语言侮辱,54 48,6,60000,17,6,
内蒙古中优呼和浩特队,俱乐部,裁判员,赛后多人围堵,58,通报批评,200000,,6,
大连一方队,运动员,运动员,用球踢人,53 48,4,40000,17 112,5,
保定英利易通队,俱乐部,,未执行中足协仲裁委员会的调解书,79,扣联赛6积分,,,,
天津天海队,运动员,,涉嫌醉驾,,,,,1,特
天津天海队,俱乐部,,过去两年球员多次醉驾,,通报批评,,,1,特
天津天海队,运动员,,醉驾,,12月,,,1,特
上海申鑫U19队,运动员,裁判员,辱骂,54 108,6,,112,17,
河北精英队,官员,裁判员,辱骂,48 54 108,7,,112,18,
大连千兆队,官员,裁判员,辱骂,48 54 108,7,14000,17 112,19,
大连千兆队,运动员,裁判员,辱骂,54 108,6,12000,17 112,13,
成都兴城队,运动员,运动员,脚踢,53 108,3,6000,17 112,11,
四川优必选队,运动员,运动员,推击,53 108,3,6000,17 112,12,
淄博蹴鞠队,运动员,运动员,推击,53 108,3,6000,17 112,12,
天津泰达U19队,运动员,运动员,故意踩踏 头撞,53 48 108,10,,112,11,
广州富力队,官员,媒体,不负责评论,82,3,30000,17,10,
天津权健队,运动员,,弄虚作假,68,9月,,,130,
大连瑞恒队,运动员,运动员,踢踹,56 102,4,,,25,
大连瑞恒队,官员,裁判员,指责 辱骂,56 47 102,8,,,23,
重庆劲浪队,运动员,运动员,企图使用过分力量击打,56 102,3,,,24,
杭州吴越钱唐队,官员,裁判员,冲入场内 指责 辱骂,56 47 102,4,,,24,
安徽合肥桂冠队,运动员,,弄虚作假,68 39,5月,,,16,
天津泰达队,官员,裁判员,非体育道德行为,54 47,5,35000,,10,
天津权健队,运动员,运动员,过分力量推打,54,4,28000,,2,
辽宁沈阳开新队,运动员,运动员,踩踏,54,4,28000,,4,
大连统顺队,官员,裁判员,辱骂,54 47 100,6,12000,,3,
大连统顺队,运动员,球迷,辱骂 侮辱性手势,54 100,8,16000,,3,
大连统顺队,运动员,球迷,辱骂,54 49 100,6,12000,,3,
大连统顺队,俱乐部,,未安排主教练参加赛前新闻发布会,66,通报批评,10000,,3,特
深圳南岭铁狼队,官员,裁判员,辱骂,54 47 100,6,12000,,9,
青岛辰希队,运动员,运动员,辱骂 手掐,54 100,6,12000,,12,
淄博星期天队,官员,裁判员,指责,54 47 100,4,20000,,4,
赛区,湖南益阳赛区,,观众燃放冷烟火,79,通报批评,10000,,5,
广州恒大淘宝队,运动员,运动员,肘击,54 49,8,56000,,11,
河南建业队,运动员,运动员,辱骂,54,4,28000,,9,
贵州恒丰队,俱乐部,,未按规定时间结束赛前热身并退场,66,通报批评,20000,,9,并
延边富德队,俱乐部,,未按规定时间结束赛前热身并退场,66,通报批评,20000,,9,并
内蒙古中优呼和浩特队,俱乐部,,未按规定时间结束赛前热身并退场,66,通报批评,20000,,9,并
上海绿地申花队,俱乐部,,未按规定时间入场，导致开球延误,66,通报批评,20000,17,4,并
长春亚泰队,官员,裁判员,指责,54 47,4,28000,17,5,
广州恒大淘宝队,运动员,同队运动员,打架,54 49,10月,20000,17,3,
广州恒大淘宝队,运动员,同队运动员,打架,54 49,10月,20000,17,3,
辽宁沈阳宏运队,官员,裁判员,指责 辱骂,54 47 49,7,49000,17,4,
辽宁沈阳宏运队,运动员,观众 器材,辱骂 蹬踹替补席,54 104,5,35000,17,4,
辽宁沈阳宏运队,俱乐部,,管理不善，多名球员、官员多次引起赛场混乱,58,通报批评,150000,17,4,
青岛黄海队,俱乐部,,管理不善，多名球员、官员多次引起赛场混乱,58,通报批评,150000,17,4,
赛区,青岛赛区,,观众向场内投掷杂物,82,通报批评,,,4,
延边富德队,运动员,运动员,踩踏,54 49,10,70000,17,4,
北京控股队,官员,器材,将矿泉水瓶踢入场内,55 100,2,10000,17,6,
赛区,河北保定赛区,,管理不善，工作不利,86,警告,,,9,
嘉兴振华队,官员,运动员 官员,打架 斗殴,3 6 8,36月,,,18,
嘉兴振华队,运动员,运动员 官员,打架 斗殴,3 6 8,12月,,,18,
嘉兴振华队,运动员,运动员 官员,打架 斗殴,3 6 8,12月,,,18,
嘉兴振华队,运动员,运动员 官员,打架 斗殴,3 6 8,5,,,18,
嘉兴振华队,运动员,运动员 官员,打架 斗殴,3 6 8,5,,,18,
嘉兴振华队,运动员,运动员 官员,打架 斗殴,3 6 8,5,,,18,
嘉兴振华队,运动员,运动员 官员,打架 斗殴,3 6 8,5,,,18,
嘉兴振华队,运动员,运动员 官员,打架 斗殴,3 6 8,3,,,18,
嘉兴振华队,运动员,运动员 官员,打架 斗殴,3 6 8,3,,,18,
海宁慕容队,官员,运动员 官员,打架 斗殴,3 6 8,36月,,,18,
海宁慕容队,运动员,运动员 官员,打架 斗殴,3 6 8,36月,,,18,
海宁慕容队,官员,运动员 官员,打架 斗殴,3 6 8,12月,,,18,
海宁慕容队,官员,运动员 官员,打架 斗殴,3 6 8,12月,,,18,
嘉兴振华队,俱乐部,运动员 官员,多名官员、球员在场上打架、斗殴,3 6 8,12月,,,18,
海宁慕容队,俱乐部,运动员 官员,多名官员、球员在场上打架、斗殴,3 6 8,12月,,,18,
大连超越队,官员,替补席人员,辱骂,54,5,35000,17,6,
上海绿地申花U17队,运动员,运动员 官员,打架,54 56 100,9,,违规违纪停赛细则,8,
上海绿地申花U17队,运动员,运动员 官员,打架 辱骂,54 56 100,8,,违规违纪停赛细则,8,
上海绿地申花U17队,俱乐部,运动员 官员,两名队员参与打架 一人辱骂对方球员,56 100,通报批评,100000,17,8,
新疆足球协会U17队,运动员,运动员 官员,不同程度参与打架,56 100,9,,违规违纪停赛细则,8,
新疆足球协会U17队,运动员,运动员 官员,不同程度参与打架,56 100,7,,违规违纪停赛细则,8,
新疆足球协会U17队,运动员,运动员 官员,不同程度参与打架,56 100,8,,违规违纪停赛细则,8,
新疆足球协会U17队,运动员,运动员 官员,不同程度参与打架,56 100,8,,违规违纪停赛细则,8,
新疆足球协会U17队,官员,运动员 官员,不同程度参与打架,56 100,7,,违规违纪停赛细则,8,
新疆足球协会U17队,俱乐部,运动员,多名球员、官员在场上不同程度参与打架,56 100,通报批评,200000,17,8,
辽宁沈阳宏运队,运动员,运动员,过分力量争抢球，危及对方球员安全,54,5,35000,17,3,
大连博阳千兆队,运动员,运动员,野蛮方式争抢球，危及对方球员的安全,54,8,40000,17,3,
