id,date,link,title
820,2012-11-2,/cftz/20121102/8044.html,关于对天津泰达康师傅队运动员违规违纪的处罚决定
821,2012-10-16,/cftz/20121016/8045.html,关于对北京国安队官员张阳违规违纪的处罚决定
822,2012-10-4,/cftz/20121004/8046.html,关于对广州恒大队教练员里皮违规违纪的处罚决定
823,2012-10-4,/cftz/20121004/8047.html,关于对广州恒大队运动员张琳芃违规违纪的处罚决定
824,2012-10-4,/cftz/20121004/8048.html,关于对广州恒大队运动员唐德超违规违纪的处罚决定
825,2012-10-4,/cftz/20121004/8049.html,关于广州恒大队运动员唐德超纪律处罚的执行通知
826,2012-10-3,/cftz/20121003/8050.html,关于对哈尔滨毅腾足球俱乐部队运动员违规违纪的处罚决定
827,2012-10-3,/cftz/20121003/8051.html,关于对延边长白虎足球俱乐部队运动员违规违纪的处罚决定
828,2012-8-30,/cftz/20120830/8052.html,关于对青岛中能足球俱乐部队违规违纪的处罚决定
829,2012-8-30,/cftz/20120830/8053.html,关于对南昌衡源足球俱乐部上海申鑫队违规违纪的处罚决定
830,2012-8-30,/cftz/20120830/8054.html,关于对广州恒大足球俱乐部队违规违纪的处罚决定
831,2012-8-27,/cftz/20120827/8055.html,关于对湖南浏阳河队运动员违规违纪的处罚决定
832,2012-8-17,/cftz/20120817/8056.html,关于对山东鲁能泰山俱乐部队违规违纪的处罚决定
833,2012-8-17,/cftz/20120817/8057.html,关于对天津赛区（松江队主场）违规违纪的处罚决定
834,2012-8-3,/cftz/20120803/8058.html,关于对天津赛区(天津泰达足球俱乐部主场)违规违纪的处罚决定
835,2012-8-3,/cftz/20120803/8059.html,关于对北京国安足球俱乐部队教练员薛申违规违纪的处罚决定
836,2012-8-3,/cftz/20120803/8060.html,关于对北京国安足球俱乐部队教练员帕切科违规违纪的处罚决定
837,2012-7-26,/cftz/20120726/8061.html,关于对贵州人和队运动员违规违纪的处罚决定
838,2012-7-23,/cftz/20120723/8062.html,对广州富力俱乐部队教练员法里亚斯违规违纪的处罚决定
839,2012-7-23,/cftz/20120723/8063.html,关于对湖南浏阳河队教练员张旭违规违纪的处罚决定
