iter	Logloss
0	0.6884426971
1	0.6856328579
2	0.6816643273
3	0.6769470734
4	0.6725588943
5	0.6689735337
6	0.6653215067
7	0.6608277113
8	0.6565793671
9	0.6536106755
10	0.649109071
11	0.646391512
12	0.6424124711
13	0.6384247507
14	0.6342472812
15	0.6305018689
16	0.6263136163
17	0.622408791
18	0.6203579023
19	0.6166438503
20	0.6126890571
21	0.6099620499
22	0.6062604587
23	0.6030055007
24	0.5995073778
25	0.596336726
26	0.5935413973
27	0.590025785
28	0.5866731894
29	0.5832710592
30	0.5800838723
31	0.5769437097
32	0.5741059823
33	0.5707840824
34	0.5676604258
35	0.5648678859
36	0.5624553923
37	0.5598446987
38	0.5568290379
39	0.5539064002
40	0.5516541918
41	0.5497446245
42	0.5470639215
43	0.544375229
44	0.541264501
45	0.538424359
46	0.5354442516
47	0.5327593353
48	0.531364285
49	0.5292888547
50	0.5266482024
51	0.5243524316
52	0.5216895829
53	0.5189288138
54	0.5172044399
55	0.5150690154
56	0.5133903342
57	0.5107298838
58	0.5079182271
59	0.5054564462
60	0.5037063364
61	0.5019207278
62	0.4994919094
63	0.4970688777
64	0.4955648631
65	0.4931314274
66	0.4911110052
67	0.4894583304
68	0.4871931709
69	0.4856608837
70	0.4838580933
71	0.4818970526
72	0.4805725818
73	0.4791601755
74	0.4773967134
75	0.4752257946
76	0.4731246558
77	0.4715862236
78	0.4697236008
79	0.4684764132
80	0.4669590667
81	0.4652419904
82	0.4632791726
83	0.461555336
84	0.4597385373
85	0.4575715243
86	0.4556551939
87	0.4537241741
88	0.4522474018
89	0.4502031536
90	0.4490787592
91	0.4472815246
92	0.4454784736
93	0.4439617366
94	0.4433493702
95	0.4418807305
96	0.440157143
97	0.4387512107
98	0.4373633255
99	0.4357686701
100	0.4346015825
101	0.433144601
102	0.4317635593
103	0.4301180224
104	0.4290376608
105	0.4277312957
106	0.4266638972
107	0.4256165537
108	0.4242371495
109	0.4231860394
110	0.4221567229
111	0.4206806639
112	0.4190946128
113	0.4180670251
114	0.4170172986
115	0.415828535
116	0.4145636156
117	0.4133635322
118	0.4123865437
119	0.4111877816
120	0.4100434897
121	0.4088800389
122	0.4077131971
123	0.4061726249
124	0.405233059
125	0.4039759245
126	0.4024688918
127	0.402076513
128	0.4008256933
129	0.4001438842
130	0.3991415912
131	0.3979363052
132	0.3971264208
133	0.3961327597
134	0.3948893047
135	0.3939823289
136	0.3928145086
137	0.3916930322
138	0.3906592569
139	0.3892880698
140	0.3881972382
141	0.3872195879
142	0.3864005688
143	0.3856598038
144	0.3845047735
145	0.3836427355
146	0.3826814303
147	0.3821032581
148	0.3811242705
149	0.3799862359
150	0.3792892432
151	0.3780332049
152	0.3772254682
153	0.3765138454
154	0.3752450981
155	0.3742128991
156	0.3732968632
157	0.3722887482
158	0.3712968595
159	0.3696756817
160	0.3689556715
161	0.368235404
162	0.3672998515
163	0.3662996899
164	0.3656052586
165	0.3650968644
166	0.3643728456
167	0.3634193716
168	0.3625675796
169	0.361643576
170	0.3610175256
171	0.3601912773
172	0.358999222
173	0.35827384
174	0.3573121906
175	0.3566679764
176	0.3558480745
177	0.3551749999
178	0.354596652
179	0.3543448267
180	0.3539168042
181	0.3531090895
182	0.3523301102
183	0.3516125652
184	0.3506087445
185	0.3495740853
186	0.3487889847
187	0.3480005284
188	0.3468193263
189	0.3460126198
190	0.3455499351
191	0.3443494608
192	0.3436925102
193	0.3429144575
194	0.3421581671
195	0.3413395831
196	0.3408430149
197	0.3400125892
198	0.3392755919
199	0.3388911354
200	0.3382014556
201	0.3376394061
202	0.3369830326
203	0.3361956398
204	0.3353057928
205	0.3345601966
206	0.3343648185
207	0.333764918
208	0.333272916
209	0.3326294391
210	0.3322291309
211	0.3315361573
212	0.331118987
213	0.3305532932
214	0.3299897675
215	0.3293042729
216	0.3285701646
217	0.3276106551
218	0.3270063529
219	0.3263353161
220	0.3258130773
221	0.3253172837
222	0.3249438633
223	0.3243609525
224	0.323729364
225	0.3231955005
226	0.3221921834
227	0.3215106503
228	0.3206589653
229	0.3200033676
230	0.3193243256
231	0.3187675407
232	0.3182204193
233	0.3176261388
234	0.317103558
235	0.316709353
236	0.3159775975
237	0.3155742353
238	0.3148629284
239	0.3143721602
240	0.3138226004
241	0.3132779115
242	0.3126483722
243	0.3121691175
244	0.3117254566
245	0.3111598993
246	0.3107012487
247	0.3100846976
248	0.3094612846
249	0.3089017263
250	0.3084725197
251	0.3079279647
252	0.3072992928
253	0.30673107
254	0.3064186086
255	0.3060409887
256	0.3053173871
257	0.3048794362
258	0.3042620682
259	0.3035818066
260	0.3026972662
261	0.302266487
262	0.3017567538
263	0.301008446
264	0.3004298887
265	0.2998917227
266	0.2992151718
267	0.2986256334
268	0.2978941811
269	0.2974874789
270	0.2970653918
271	0.2966099358
272	0.2961519194
273	0.29548979
274	0.2949924382
275	0.2944535416
276	0.2939369514
277	0.2934519204
278	0.2929857554
279	0.2922752558
280	0.2919432784
281	0.2914756747
282	0.2909583821
283	0.2903595081
284	0.2901136183
285	0.2894892468
286	0.2887548773
287	0.2883123515
288	0.2878122027
289	0.2875402121
290	0.2872217812
291	0.2868173403
292	0.2863090651
293	0.2859307143
294	0.28568328
295	0.2852762686
296	0.2850618938
297	0.2844158323
298	0.2840919946
299	0.2836501906
300	0.2835362585
301	0.282740522
302	0.2823209614
303	0.2818204941
304	0.2813713668
305	0.2808983569
306	0.2804132091
307	0.2798965955
308	0.2795131536
309	0.2791025792
310	0.2789628542
311	0.2782629851
312	0.2777051386
313	0.2772504208
314	0.2768747026
315	0.2761628582
316	0.275768804
317	0.2751301321
318	0.2747447907
319	0.2744195857
320	0.2739792824
321	0.2734458114
322	0.2730312499
323	0.2725750628
324	0.2720911526
325	0.2717216335
326	0.2712852621
327	0.2707417073
328	0.2702963817
329	0.2698743454
330	0.2695280698
331	0.269318489
332	0.2689077852
333	0.2685879723
334	0.2681733509
335	0.2677955361
336	0.2672732665
337	0.2668985363
338	0.2666039072
339	0.2660548061
340	0.2657258145
341	0.2654086138
342	0.2651079159
343	0.2645865486
344	0.2642579692
345	0.2639558252
346	0.2635494622
347	0.2633551608
348	0.2630019279
349	0.2626990851
350	0.2624406862
351	0.2621201961
352	0.2618043968
353	0.2614821596
354	0.2610565554
355	0.2607252775
356	0.2603250133
357	0.2599736343
358	0.2596779292
359	0.2591863389
360	0.258905648
361	0.2584554595
362	0.2578902967
363	0.2574985835
364	0.2569763608
365	0.2563959104
366	0.2560732486
367	0.2554942893
368	0.2552016045
369	0.2547646359
370	0.2543947365
371	0.2539355488
372	0.2535634476
373	0.2531983527
374	0.2526896081
375	0.2524291102
376	0.2519357859
377	0.2515349126
378	0.2512850001
379	0.2508629926
380	0.2503453169
381	0.2499292548
382	0.2494114932
383	0.2489090901
384	0.2484742222
385	0.2480920364
386	0.2478374455
387	0.2475447541
388	0.247199623
389	0.246747315
390	0.2462781013
391	0.2459795382
392	0.2456552926
393	0.2453841159
394	0.2451058081
395	0.2445526018
396	0.2442397308
397	0.2436471565
398	0.2433160673
399	0.2429305564
400	0.2423203361
401	0.2422879647
402	0.2419729943
403	0.2415933338
404	0.2412233011
405	0.2406974962
406	0.2404008713
407	0.240086266
408	0.2397416927
409	0.2395017268
410	0.2392397193
411	0.2388726909
412	0.2385376336
413	0.2381132627
414	0.2377314972
415	0.2373714591
416	0.2370549264
417	0.2367862147
418	0.2364576794
419	0.2361041398
420	0.2357258122
421	0.2354559649
422	0.2351111714
423	0.2347420222
424	0.2344314691
425	0.2341171595
426	0.2338008756
427	0.2333569336
428	0.2331825071
429	0.2327992188
430	0.2327784577
431	0.2324630428
432	0.232132903
433	0.2318340264
434	0.2314858538
435	0.2312081018
436	0.231080954
437	0.2306757704
438	0.2303845255
439	0.2300914808
440	0.2298236021
441	0.2293079343
442	0.2290054278
443	0.2286426309
444	0.2283996124
445	0.2281188396
446	0.2278176814
447	0.2275796359
448	0.2273612802
